課程名稱,授課教師,學期,A+,A,A以下,A-以上,A-,A-以下,B+以上,B+,B+以下,B以上,B,B以下,B-以上,B-,B-以下,C+以上,C+,C+以下,C以上,C,C以下,C-以上,C-,F
工程數學-微分方程(一),丁建均,112-1,,,,,15.27,,,,,,,,,,,,,,,,,,,
工程數學-線性代數,李宏毅,112-1,,,,,,,,11.27,,,,,,,,,,,,,,,,
工程數學-線性代數,蘇柏青,112-1,22.03,,,,,,,,,,,,,,,,,,,,,,,
工程數學-複變,李君浩,112-1,24.69,,,,,,,,,,,,,,,,,,,,,,,
工程數學一,許少瑜,112-1,17.39,,,,,,,,,,,,,,,,,,,,,,,
工程數學上,黃信富,112-1,,,,,,,,14.29,,,,,,,,,,,,,,,,
工程發展與社會變遷,楊申語,112-1,40,,,,,,,,,,,,,,,,,,,,,,,
巨量資料系統,廖世偉,112-1,81.88,,,,,,,,,,,,,,,,,,,,,,,
布農族語一上,余榮德,112-1,55.88,,,,,,,,,,,,,,,,,,,,,,,
微波系統導論,盧信嘉,112-1,20.93,,,,,,,,,,,,,,,,,,,,,,,
微積分1,陳彥宇,112-1,,,,,20.14,,,,,,14.39,,,,,,,,,,,,,
微積分1,傅斯緯,112-1,22.7,,,,,,,,,,,,,,,,,,,,,,,
微積分1,陳健樺,112-1,31.29,17.69,,,9.72,,,,,,,,,,,,,,,,,,,
微積分1,蔡國榮,112-1,32.79,,,,,,,,,,,,,,,,,,,,,,,
微積分1,彭俊文,112-1,19.08,,,,,,,,,,,,,,,,,,,,,,,
微積分2,傅斯緯,112-1,25.36,,,,,,,,,,,,,,,,,,,,,,,
微積分2,蔡國榮,112-1,17.07,15.45,,,,,,,,,,,,,,,,,,,,,,
微積分2,彭俊文,112-1,19.48,,,,,,,,,,,,,,,,,,,,,,,
德文一上,蔡嘉穎,112-1,15.22,23.91,,,,,,,,,,,,,,,,,,,,,,
德文一上,拉貝明契,112-1,43.64,18.18,,,,,,,,,,,,,,,,,,,,,,
德文法學名著選讀一,林明昕,112-1,,,,,66.67,,,,,,,,,,,,,,,,,,,
心理測驗,翁儷禎,112-1,,,,,14.68,,,,,,,,,,,,,,,,,,,
憲法,蘇慧婕,112-1,15.91,,,,,,,,,,,,,,,,,,,,,,,
應用力學下,廖國基,112-1,0,1.45,,,,,,,,,,,,,,,,,,,,,,
應用電子學(含實驗),楊士進,112-1,26.47,20.59,,,,,,,,,,,,,,,,,,,,,,
手球中級,黃欽勇,112-1,39.53,,,,,,,,,,,,,,,,,,,,,,,
批判思考與公共論述,鄧志松,112-1,23.08,48.72,,,,,,,,,,,,,,,,,,,,,,
投資學,陳彥行,112-1,52.08,,,,,,,,,,,,,,,,,,,,,,,
探索臺灣：自然資源保育與經營管理,劉奇璋,112-1,62.2,,,,,,,,,,,,,,,,,,,,,,,
提筆表達你的觀點：批判寫作,趙雄健,112-1,36.36,,,,,,,,,,,,,,,,,,,,,,,
政治學一,童涵浦,112-1,11.21,,,,16.82,,,,,,,,,,,,,,,,,,,
政治學一,黃凱苹,112-1,18.48,,,,,,,,,,,,,,,,,,,,,,,
政治學一,張貴閔,112-1,6.52,28.26,,,,,,,,,,,,,,,,,,,,,,
政治學一,黃凱苹,112-1,,,,,23.91,,,,,,,,,,,,,,,,,,,
政治學概論,王業立,112-1,20.4,,,,,,,,,,,,,,,,,,,,,,,
政黨與選舉制度,王業立,112-1,32.59,26.67,,,,,,,,,,,,,,,,,,,,,,
教育社會學,符碧真,112-1,12,44,,,,,,,,,,,,,,,,,,,,,,
文化資產的歷史學,陳冠妃,112-1,,,,,23.08,,,0,,,0,,,0,,,0,,,0,,,0,0
文字探勘初論,陳建錦,112-1,43.02,,,,,,,,,,,,,,,,,,,,,,,
日文一上,王憶雲,112-1,60.61,,,,,,,,,,,,,,,,,,,,,,,
日文一上,洪淑娟,112-1,31.43,,,,14.29,,,,,,,,,,,,,,,,,,,
日文一上,田世民,112-1,,,,,,,,14.71,,,,,,,,,,,,,,,,
日文一上,江佩璇,112-1,54.29,,,,,,,,,,,,,,,,,,,,,,,
日文上,黃意婷,112-1,53.85,,,,,,,,,,,,,,,,,,,,,,,
日文上,黃佳鈴,112-1,50,26.47,,,,,,,,,,,,,,,,,,,,,,
日文上,許惠晴,112-1,61.54,20.51,,,,,,,,,,,,,,,,,,,,,,
日文上,許惠晴,112-1,48.72,12.82,,,20.51,,,,,,,,,,,,,,,,,,,
日文二上,黃佳鈴,112-1,45,,,,,,,,,,,,,,,,,,,,,,,
日文二上,曾寶儀,112-1,67.5,15,,,,,,,,,,,,,,,,,,,,,,
日文二上,黃意婷,112-1,60,,,,,,,,,,,,,,,,,,,,,,,
日文習作二上,守時愛里,112-1,55,,,,,,,,,,,,,,,,,,,,,,,
日文翻譯一上,曹景惠,112-1,25.93,,,,,,,,,,,,,,,,,,,,,,,
日本文化上,田世民,112-1,23.61,,,,,,,,,,,,,,,,,,,,,,,
日本語言學概論上,林立萍,112-1,,,,,18.99,,,,,,,,,,,,,,,,,,,
日本通話選讀上,朱秋而,112-1,35.14,,,,,,,,,,,,,,,,,,,,,,,
日語會話二上,龜田俊和,112-1,30,,,,,,,,,,,,,,,,,,,,,,,
日語語法上,林慧君,112-1,15.94,,,,,,,,,,,,,,,,,,,,,,,
時頻分析和小波轉換,丁建均,112-1,81.01,,,,,,,,,,,,,,,,,,,,,,,
普通化學丙,林至闓,112-1,3.38,,,,,,,,,,,,,,,,8.02,,,,,,,
普通化學丙,邱靜雯,112-1,10.36,6.74,,,,,,,,,,,,,,,,,,,,,,
普通化學丙,邱靜雯,112-1,,,,,18.13,,,,,,,,,,,,,,,,,,,
普通化學實驗,林至闓,112-1,6.25,20.31,,,,,,,,,,,,,,,,,,,,,,
普通化學實驗,林至闓,112-1,9.84,22.95,,,,,,,,,,,,,,,,,,,,,,
普通化學甲上,李弘文,112-1,,,,,13.26,,,,,,,,,,,,,,,,,,,
普通心理學,謝伯讓,112-1,60.38,,,,,,,,,,,,,,,,,,,,,,,
普通心理學,周珮雯,112-1,63.23,,,,,,,,,,,,,,,,,,,,,,,
普通心理學,羅達中,112-1,66.56,,,,,,,,,,,,,,,,,,,,,,,
普通心理學,陳品豪,112-1,28.18,26.83,,,,,,,,,,,,,,,,,,,,,,
普通心理學,曾祥非,112-1,38.25,25.68,,,,,,,,,,,,,,,,,,,,,,
普通心理學,鄧善娟,112-1,,,,,9.96,,,,,,,,,,,,,,,,,,,
普通心理學,周珮雯,112-1,60.14,,,,,,,,,,,,,,,,,,,,,,,
普通心理學,陳品豪,112-1,28.18,,,,,,,,,,,,,,,,,,,,,,,
普通心理學討論課,周泰立,112-1,28.57,,,,,,,,,,,,,,,,,,,,,,,
普通物理學乙,楊珮芸,112-1,49.32,,,,,,,,,,,,,,,,,,,,,,,
普通物理學實驗一,楊珮芸,112-1,86.36,,,,,,,,,,,,,,,,,,,,,,,
普通物理學實驗一,許長仁,112-1,83.33,,,,,,,,,,,,,,,,,,,,,,,
普通物理學甲上,趙治宇,112-1,,,,,18.71,,,,,,,,,,,,,,,,,,,
普通物理學甲上,梁國淦,112-1,63.89,,,,,,,,,,,,,,,,,,,,,,,
智慧財產權法導論,李素華,112-1,14.53,24.36,,,23.08,,,,,,,,,,,,,,,,,,,
會計學甲一上,陳坤志,112-1,10.45,4.48,,,,,,,,,,,,,,,,,,,,,,
月經:理論、思潮與行動,黃韻如,112-1,62.1,,,,,,,,,,,,,,,,,,,,,,,
朝鮮王朝的建立與發展,姜智恩,112-1,,,,,,,,,,,18.07,,,,,,,,,,,,,
東亞現代史,羅士傑,112-1,31.43,,,,,,,,,,,,,,,,,,,,,,,
棒球初級,康正男,112-1,,,,,26.19,,,,,,,,,,,,,,,,,,,
森林生物多樣性概論,合授,112-1,,,,,11.9,,,,,,,,,,,,,,,,,,,
機械工程實驗（一）,江明哲,112-1,93.75,,,,,,,,,,,,,,,,,,,,,,,
機械工程量測原理,黃育熙,112-1,11.54,,,,,,,,,,,,,,,,,,,,,,,
機械設計原理,陳湘鳳,112-1,24.62,,,,,,,,,,,,,,,,,,,,,,,
機率與統計,周呈霙,112-1,9.09,,,,,,,,,,,,,,,,,,,,,,,20
歐盟莫內講座--經濟貨幣整合：歐盟理論與實證,葉國俊,112-1,,,,,,,,6.67,,,,,,,,,,,,,,,,
歐盟莫內講座--經濟貨幣整合：歐盟理論與實證,葉國俊,112-1,28.72,,,,,,,,,,,,,,,,,,,,,,,
歷史學與現代社會,韓承樺,112-1,39.78,29.03,,,,,,,,,,,,,,,,,,,,,,
歷史研究與寫作,衣若蘭,112-1,13.16,,,,,,,,,,,,,,,,,,,,,,,
毒道之處～看不見的危機!,姜至剛,112-1,18.47,,,,,,,,,,,,,,,,,,,,,,,
比較政治理論一,張佑宗,112-1,10.2,,,,,,,,,,,,,,,,,,,,,,,
比較教育,許育萍,112-1,27.27,63.64,,,,,,,,,,,,,,,,,,,,,,
民事訴訟法甲上,吳從周,112-1,,,,,38.1,,,,,,,,,,,,,,,,,,,
民法概要乙,蕭奕弘,112-1,25.76,,,,,,,,,,,,,,,,,,,,,,,
民法概要乙,游啟璋,112-1,10,20,,,,,,,,,,,,,,,,,,,,,,
民法總則,陳聰富,112-1,11.54,,,,,,,,,,,,,7.69,,,,,,,,,,
民法總則,陳自強,112-1,,,,,,,,6.92,,,,,,,,,,,,,,,,
水文學,蔡宛珊,112-1,23.33,46.67,,,,,,,,,,,,,,,,,,,,,,
永續發展與社會 (一),黃淑怡,112-1,100,,,,,,,,,,,,,,,,,,,,,,,
法國社會文化史一,秦曼儀,112-1,30.77,19.23,,,,,,,,,,,,,,,,,,,,,,
法學緒論,陳昭如,112-1,4.35,20.29,,,,,,,,,,,,,,,,,,,,,,
法學緒論,陳昭如,112-1,,,,,33.33,,,,,,,,,,,,,,,,,,,
法文一上,陳維玲,112-1,66.67,,,,,,,,,,,,,,,,,,,,,,,
法文一上,陳素麗,112-1,24.32,,,,,,,,,,,,,,,,,,,,,,,
法文一上,陳素麗,112-1,,,,,24.32,,,,,,,,,,,,,,,,,,,
泛函分析一,蕭欽玉,112-1,28.57,,,,,,,,,,,,,,,,,,,,,,,
流體力學,吳富春,112-1,1.92,3.85,,,,,,,,,,,,,,,,,,,,,,
海峽兩岸關係史一,李君山,112-1,28.48,,,,,,,,,,,,,,,,,,,,,,,
海洋科學概論,楊穎堅,112-1,33.33,,,,,,,,,,,,,,,,,,,,,,,
消息理論,王奕翔,112-1,,,,,19.44,,,,,,,,,,,,,,,,,,,
深度學習與人類語言處理,李宏毅,112-1,82.61,,,,,,,,,,,,,,,,,,,,,,,
游泳中級,林謙如,112-1,,,,,10.53,,,,,,,,,,,,,,,,,,,
滿文一,莊吉發,112-1,79.31,,,,,,,,,,,,,,,,,,,,,,,
演算法,蔡益坤,112-1,8.7,,,,,,,,,,,,,,,,,,,,,,,
演算法,李建模,112-1,21.21,,,,,,,,,,,,,,,,,,,,,,,
演算法設計與分析,呂學一,112-1,12.39,8.85,,,,,,,,,,,,,,,,,,,,,,
熱傳學,陳炳煇,112-1,51.47,,,,,,,,,,,,,,,,,,,,,,,
熱力學,張鈞棣,112-1,,,,,,,,,,,,,,,,,,,,,,,,15.15
熱力學(一),陳洵毅,112-1,6.25,,,,,,,,,,,,,,,,,,,,,,,17.19
物質文化研究,張正衡,112-1,,,,,,,,19.44,,,,,,,,,,,,,,,,
獸醫解剖學及實習上,蕭逸澤,112-1,15.62,,,,,,,,,,,,,,,,,,,,,,,
現代中國與世界：1842-1911,王遠義,112-1,,,,,,,,,,,,,,2.41,,,,,,,,,,
現代政治思想一,陳思賢,112-1,13.04,38.04,,,,,,,,,,,,,,,,,,,,,,
環境化學,潘述元,112-1,11.86,5.08,,,,,,,,,,,,,,,,,,,,,,
生命科學導論,潘健源,112-1,70.91,,,,,,,,,,,,,,,,,,,,,,,
生態學研究與應用概論,何傳愷,112-1,27.27,,,,,,,,,,,,,,,,,,,,,,,
生物化學,李明學,112-1,28.02,,,,,,,,,,,,,,,,,,,,,,,
生物化學實驗,李明學,112-1,38.67,,,,,,,,,,,,,,,,,,,,,,,
生物化學甲上,冀宏源 余榮熾 蕭超隆,112-1,29.03,,,,,,,,,,,,,,,,,,,,,,,
田園生活體驗二,盧炯敏,112-1,37.5,,,,,,,,,,,,,,,,,,,,,,,
疼痛健康幸福感,陳慧玲,112-1,76.11,,,,,,,,,,,,,,,,,,,,,,,
相控陣列雷達訊號處理,黃彥銘,112-1,42.86,,,,,,,,,,,,,,,,,,,,,,,
社會學,蘇國賢,112-1,27.78,25,,,,,,,,,,,,,,,,,,,,,,
社會學甲上,陳東升,112-1,,,,,27.03,,,,,,,,,,,,,,,,,,,
社會心理學,李怡菁,112-1,8.64,8.64,,,,,,,,,,,,,,,,,,,,,,
社會研究方法甲上,吳嘉苓,112-1,22.06,,,,,,,,,,,,,,,,,,,,,,,
社會統計,林孟瑢,112-1,53.49,,,,,,,,,,,,,,,,,,,,,,,
社會考古學,吳牧錞,112-1,,,,,23.53,,,,,,,,,,,,,,,,,,,
程式設計,楊東謀,112-1,,36.36,,,,,,,,,,,,,,,,,,,,,,
程式設計與資料分析,郭耀仁,112-1,86.57,,,,,,,,,,,,,,,,,,,,,,,
積體電路設計,闕志達,112-1,28.7,,,,,,,,,,,,,,,,,,,,,,,
系統動態學,李宇修,112-1,13.56,,,,,,,,,,,,,,,,,,,,,,,
給每個人的演化生物學,王弘毅,112-1,51.64,36.07,,,,,,,,,,,,,,,,,,,,,,
統計學一上,周建亨,112-1,45.42,,,,,,,,,,,,,,,,,,,,,,,
統計學習與深度學習,盧信銘,112-1,,,,,19.35,,,,,,,,,,,,,,,,,,,
統計與生活,蘇士詠,112-1,38.98,,,,,,,,,,,,,,,,,,,,,,,
經濟學原理上,陳暐,112-1,6.38,,,,,,,,,,,,,,,,,,,,,,,
綠色工程,潘述元,112-1,31.58,68.42,,,,,,,,,,,,,,,,,,,,,,
綠色生產與消費,駱尚廉,112-1,26.15,44.62,,,,,,,,,,,,,,,,,,,,,,
網球初級,陳美莉,112-1,42.11,,,,,,,,,,,,,,,,,,,,,,,
網球初級,趙曉涵,112-1,88.89,,,,,,,,,,,,,,,,,,,,,,,
線性代數,陳文進,112-1,,,,,17.92,,,,,,,,,,,,,,,,,,,
線性代數一,林惠雯,112-1,,,,,,,,13,,,,,,,,,,,,,,,,
總體經濟學原理,陳虹如,112-1,16.98,15.09,,,,,,,,,,,,,,,,,,,,,,
總體經濟學原理,陳虹如,112-1,16.98,,,,,,,,,,,,,,,,,,,,,,,
羽球中級,連家瑩,112-1,60,,,,,,,,,,,,,,,,,,,,,,,
職場倫理與職場精神,洪英正,112-1,26.45,,,,,,,,,,,,,,,,,,,,,,,
自動控制,黃漢邦,112-1,10.2,,,,,,,,,,,,,,,,,,,,,,,
臺灣歷史與人物,歐素瑛,112-1,34.72,,,,,,,,,,,,,,,,,,,,,,,
臺灣近代史,歐素瑛,112-1,,,,,44.74,,,,,,,,,,,,,,,,,,,
臺灣閩南語一,林貝珊,112-1,33.33,37.04,,,,,,,,,,,,,,,,,,,,,,
英文(附一小時英聽)一,許文僊,112-1,19.44,,,,,,,,,,,,,,,,,,,,,,,
英文(附一小時英聽)一,黃允蔚,112-1,55.81,,,,,,,,,,,,,,,,,,,,,,,
英文(附一小時英聽)一,周昱翔,112-1,29.63,,,,,,,,,,,,,,,,,,,,,,,
英文(附一小時英聽)一,黃子岳,112-1,64.29,,,,,,,,,,,,,,,,,,,,,,,
英文(附一小時英聽)一,廖勇超,112-1,15.79,36.84,,,,,,,,,,,,,,,,,,,,,,
英文(附一小時英聽)一,簡瑞碧,112-1,14.29,61.22,,,,,,,,,,,,,,,,,,,,,,
英文(附二小時英聽)一,黃宗慧,112-1,23.53,,,,,,,,,,,,,,,,,,,,,,,
英文一,柏逸嘉,112-1,9.38,,,,,,,,,,,,,,,,,,,,,,,
英文一,傅友祥,112-1,11.76,,,,,,,,,,,,,,,,,,,,,,,
著作權法,謝銘洋,112-1,20.77,13.08,,,,,,,,,,,,,,,,,,,,,,
行政學一,孫煒,112-1,18.6,,,,29.07,,,,,,,,,,,,,,,,,,,
行政學一,劉康惠,112-1,,,,,38.46,,,,,,,,,,,,,,,,,,,
行政學一,蘇彩足,112-1,14.15,24.53,,,,,,,,,,,,,,,,,,,,,,
西歐文明：上古到1400,陳慧宏,112-1,30.77,,,,,,,,,,,,,,,,,,,,,,,
西歐文明：上古到1400,陳慧宏,112-1,28.48,,,,,,,,,,,,,,,,,,,,,,,
西洋政治哲學一,陳思賢,112-1,11.11,35.67,,,,,,,,,,,,,,,,,,,,,,
西班牙文一上,馬德睿,112-1,56,,,,,,,,,,,,,,,,,,,,,,,
西班牙文二上,丹倪,112-1,,,,,34.48,,,,,,,,,,,,,,,,,,,
計算機應用及程式語言,蕭友晉,112-1,56.6,,,,,,,,,,,,,,,,,,,,,,,
計算機概論,莊永裕,112-1,38.14,,,,,,,,,,,,,,,,,,,,,,,
計算機程式,林以凡,112-1,29.63,,,,,,,,,,,,,,,,,,,,,,,
計算機程式設計,蘇國棟,112-1,64.52,,,,,,,,,,,,,,,,,,,,,,,
計算機程式設計,劉邦鋒,112-1,50.91,,,,,,,,,,,,,,,,,,,,,,,
計算機結構,劉宗德,112-1,18.98,,,,,,,,,,,,,,,,,,,,,,,
認識星空,孫維新,112-1,51.12,,,,,,,,,,4.75,,,,,,,,,,,,,
認識星空,孫維新,112-1,51.12,,,,,,,,,,,,,,,,,,,,,,,
諾貝爾生醫獎得主的啟示,饒梓明,112-1,21.21,44.44,,,,,,,,,,,,,,,,,,,,,,
議事學,劉有恆,112-1,38.89,,,,,,,,,,,,,,,,,,,,,,,
財務管理,蕭湛東,112-1,35.96,,,,,,,,,,,,,,,,,,,,,,,
財務管理,邱顯比,112-1,,,,,,,,,,,,,,4.71,,,,,,,,,,
財務金融入門,陳明賢,112-1,40.87,,,,,,,,,,,,,,,,,,,,,,,
貨幣銀行學一,李怡庭,112-1,15.89,,,,,,,,,,,,,,,,,,,,,,,
貨幣銀行學甲,高一誠,112-1,70.43,,,,,,,,,,,,,,,,,,,,,,,
貨幣銀行學甲,黃志典,112-1,13.64,,,,,,,,,,,,,,,,,,,,,,,
資料科學入門,張佑成,112-1,74.58,,,,,,,,,,,,,,,,,,,,,,,
資料科學計算,潘建興,112-1,14.29,17.86,,,,,,,,,,,,,,,,,,,,,,
資料結構,陳和麟,112-1,18.67,21.69,,,,,,,,,,,,,,,,,,,,,,
資訊檢索,唐牧群,112-1,22.95,,,,,,,,,,,,,,,,,,,,,,,
資訊組織一,黃麗珉,112-1,30.19,,,,,,,,,,,,,,,,,,,,,,,
越南文一上,阮蓮香,112-1,45.45,,,,,,,,,,,,,,,,,,,,,,,
軌道運輸學,賴勇成,112-1,45.24,9.52,,,14.29,,,,,,,,,,,,,,,,,,,
農業經濟概論,張宏浩,112-1,16.47,,,,,,,,,,,,,,,,,,,,,,,
遼宋金的物質世界,許雅惠,112-1,,,,,23.33,,,,,,,,,,,,,,,,,,,
邏輯,傅皓政,112-1,70.42,,,,,,,,,,,,,,,,,,,,,,,
邏輯思考與應用,王銀國,112-1,75,,,,,,,,,,,,,,,,,,,,,,,
醫學與生活,楊榮森,112-1,31.85,35.67,,,,,,,,,,,,,,,,,,,,,,
醫療與社會,朱宗信,112-1,17.28,,,,,,,,,,,,,,,,,,,,,,,
重量訓練,連家瑩,112-1,41.07,,,,,,,,,,,,,,,,,,,,,,,
金融倫理與社會責任,池祥麟,112-1,69.23,38,,,,,,,,,,,,,,,,,,,,,,
鋼琴作品與演奏欣賞,張欽全,112-1,94,,,,,,,,,,,,,,,,,,,,,,,
電子學實驗(一),劉宗德,112-1,61.54,,,,,,,,,,,,,,,,,,,,,,,
電子學（一）,林宗賢,112-1,13.33,,,,,,,,,,,,,,,,,,,,,,,
電子電路設計,劉深淵,112-1,11.9,19.05,,,,,,,,,,,,,,,,,,,,,,
電工學與實習,鄭宗記,112-1,11.54,,,,,,,,,,,,,,,,,,,,,,,25
電工實驗(數位電路),楊家驤,112-1,,,,,8.33,,,,,,,,,,,,,,,,,,,
電影、信仰與道德,張毅民,112-1,68.75,,,,,,,,,,,,,,,,,,,,,,,
電磁學一,鄭宇翔,112-1,51.72,,,,,,,,,,,,,,,,,,,,,,,
電腦輔助分析與最佳化,陳中平,112-1,17.65,32.35,,,,,,,,,,,,,,,,,,,,,,
電腦輔助積體電路系統設計,楊家驤,112-1,20.19,,,,,,,,,,,,,,,,,,,,,,,
韓文一上,李承珍,112-1,43.59,,,,,,,,,,,,,,,,,,,,,,,
韓文一上,李相美,112-1,81.4,,,,,,,,,,,,,,,,,,,,,,,
音樂、演化與大腦,蔡振家,112-1,,40,,,,,,,,,,,,,,,,,,,,,,
黃宗慧,黃宗慧,112-1,,,,,18.82,,,,,,,,,,,,,,,,,,,
C/C++程式設計,張傑帆,111-2,,,,,,,,10.23,,,,,,,,,,,,,,,,
Python程式設計,林澤佑,111-2,,,,,,,,,,,,,,,,,,,,,,,3.23,2.15
世界史二,秦曼儀,111-2,10.84,25.3,,,,,,,,,,,,,,,,,,,,,,
世界地理,許嘉麟,111-2,50,,,,,,,,,,,,,,,,,,,,,,,
中國傳統法律、文化與社會,陳俊強,111-2,35.48,,,,,,,,,,,,,,,,,,,,,,,
中國史二,韓承樺,111-2,16.28,,,,,,,,,,,,,,,,,,,,,,,
中國大陸奢侈品消費的政治風險分析,黃旻華,111-2,,,,,16,,,8,,,,,,,,,,,,,,,,
中國近代思想史,吳展良,111-2,,,,,,,,,,,2.86,,,,,,,,,,,,,
人文科技的交響：新趨勢與新素養（二）,鄭毓瑜,111-2,20.91,,,,,,,,,,,,,,,,,,,,,,,
佛教．禪與人生,羅鈴沛,111-2,24.24,,,,,,,,,,,,,,,,,,,,,,,
作業研究,孔令傑,111-2,34.52,,,,,,,,,,,,,,,,,,,,,,,
作業研究,孔令傑,111-2,34.52,26.19,,,,,,,,,,,,,,,,,,,,,,
作業系統,施吉昇,111-2,7.21,18.92,,,,,,,,,,,,,,,,,,,,,,
作業系統,陳建錦,111-2,46.32,18.95,,,,,,,,,,,,,,,,,,,,,,
作業系統,陳建錦,111-2,46.32,,,,,,,,,,,,,,,,,,,,,,,
俠義文學,徐富昌,111-2,,,,,25.11,,,,,,,,,,,,,,,,,,,
信號與系統,李琳山,111-2,,,,,,,,,,,22.5,,,,,,,,,,,,,
信號與系統,李琳山,111-2,,,,,12.5,,,,,,,,,,,,,,,,,,,
信號與系統,王鈺強,111-2,7.84,8.82,,,,,,,,,,,,,,,,,,,,,,
信號與系統,李坤彥,111-2,10.87,,,,,,,,,,,,,,,,,,,,,,,
全民國防教育軍事訓練課程－防衛動員,余宗基,111-2,,,,,24.71,,,,,,,,,,,,,,,,,,,
分析導論二,夏俊雄,111-2,12.5,14.58,,,,,,,,,,,,,,,,,,,,,,
刑事政策專題研究,王皇玉（四人合授）,111-2,21.43,,,,,,,,,,,,,,,,,,,,,,,
刑法總則二,王皇玉,111-2,20.8,,,,,,,,,,,,,,,,,,,,,,,
刑法總則二,謝煜偉,111-2,11.11,,,,,,,,,,,,,,,,,,,,,,,
創意數位影像,許逸弘,111-2,100,,,,,,,,,,,,,,,,,,,,,,,
參考資訊服務,林奇秀,111-2,31.67,,,,,,,,,,,,,,,,,,,,,,,
史學導論,方震華,111-2,26.19,,,,,,,,,,,,,,,,,,,,,,,
哲學概論,苑舉正,111-2,50.57,,,,,,,,,,,,,,,,,,,,,,,
哲學概論,周先捷,111-2,39.58,,,,,,,,,,,,,,,,,,,,,,,
商事法,吳盈德,111-2,31.71,68.29,,,,,,,,,,,,,,,,,,,,,,
商事法總論及公司法,楊岳平,111-2,39.57,,,,,,,,,,,,,,,,,,,,,,,
商管程式設計,孔令傑,111-2,64.31,,,,,,,,,,,,,,,,,,,,,,,
國會與憲政民主,劉有恒,111-2,38.4,,,,,,,,,,,,,,,,,,,,,,,
國民法官必備之基礎鑑識科學,翁德怡,111-2,64.62,,,,,,,,,,,,,,,,,,,,,,,
國際公法二,蔡季廷,111-2,,,,,22.22,,,,,,,,,,,,,,,,,,,
國際學伴之服務學習,吳俊輝,111-2,67.12,,,,,,,,,,,,,,,,,,,,,,,
國際金融,陳旭昇,111-2,43.24,18.92,,,,,,,,,,,,,,,,,,,,,,
國際關係二,郭銘傑,111-2,,,,,20.31,,,,,,,,,,,,,,,,,,,
國際關係二,郭銘傑,111-2,46.35,,,,,,,,,,,,,,,,,,,,,,,
園產品加工學,許輔,111-2,,,,,15.71,,,,,,,,,,,,,,,,,,,
圖書館特藏文獻管理,顧力仁,111-2,40.74,,,,,,,,,,,,,,,,,,,,,,,
圖書館管理,蔡天怡,111-2,11.32,,,,,,,,,,,,,,,,,,,,,,,
基礎法學導論,顏厥安,111-2,21.82,,,,,,,,,,,,,,,,,,,,,,,
壓電振動能量擷取導論,舒貽忠,111-2,52.94,,,,,,,,,,,,,,,,,,,,,,,
壘球初級,周德賢,111-2,65.91,,,,,,,,,,,,,,,,,,,,,,,
大一研討課,周泰立,111-2,32.48,,,,,,,,,,,,,,,,,,,,,,,
大學國文：文化思想與寫作（二）,黃啟書,111-2,,,,,,,,,,,,,,11.76,,,,,,,,,,
大學國文：文化思想與寫作（二）,梁偉賢,111-2,79.41,,,,,,,,,,,,,,,,,,,,,,,
大學國文：文學鑑賞與寫作（二）,王士銓,111-2,48.39,,,,,,,,,,,,,,,,,,,,,,,
大學國文：文學鑑賞與寫作（二）,陳建男,111-2,70.59,,,,,,,,,,,,,,,,,,,,,,,
大學國文：文學鑑賞與寫作（二）,陳雀倩,111-2,62.16,21.16,,,,,,,,,,,,,,,,,,,,,,
大學國文：文學鑑賞與寫作（二）,王士銓,111-2,60.71,25,,,,,,,,,,,,,,,,,,,,,,
大學國文：文學鑒賞與寫作（二）,陳昭瑛,111-2,28.57,,,,,,,,,,,,,,,,,,,,,,,
大學國文：閱讀與寫作（二）,羅聖堡,111-2,,57.14,,,,,,,,,,,,,,,,,,,,,,
大氣熱力學,吳健銘,111-2,,,,,9.26,,,,,,,,,,,,,,,,,,,
大氣熱力學,吳健銘,111-2,18.52,,,,,,,,,,,,,,,,,,,,,,,
天氣與氣候,吳明進,111-2,,,,,,,,18.33,,,,,,,,,,,,,,,,
太極拳初級,游添燈,111-2,11.32,33.96,,,,,,,,,,,,,,,,,,,,,,
婦女與性別研究導論,江芝華,111-2,26.47,,,,,,,,,,,,,,,,,,,,,,,
媒介概論,許詩嫻,111-2,28.74,,,,,,,,,,,,,,,,,,,,,,,
室內五人制足球,楊睿中,111-2,98,,,,,,,,,,,,,,,,,,,,,,,
密碼學導論,陳君明,111-2,26.09,,,,,,,,,,,,,,,,,,,,,,,
專利法,李素華,111-2,16.99,12.42,,,,,,,,,,,,,,,,,,,,,,
工程及專業倫理,陳琪芳,111-2,84.42,,,,,,,,,,,,,,,,,,,,,,,
工程數學-微分方程(一),丁建鈞,111-2,27.52,39,,,,,,,,,,,,,,,,,,,,,,
工程數學-複變,王暉,111-2,,,,,9.09,,,,,,,,,,,,,,,,,,,
工程數學-複變,王暉,111-2,29.55,,,,,,,,,,,,,,,,,,,,,,,
工程數學下,蕭浩明,111-2,25.33,,,,,,,,,,,,,,,,,,,,,,,
工程數學二,胡明哲,111-2,6.67,15.56,,,,,,,,,,,,,,,,,,,,,,
工程發展與社會變遷,楊申語,111-2,26.53,,,,,,,,,,,,,,,,,,,,,,,
微積分3,傅斯緯,111-2,22.86,,,,,,,,,,,,,,,,,,,,,,,
微積分3,蔡雅如,111-2,11.71,,,,,,,,,,,,,,,,,,,,,,,
微積分3,黃秀戀,111-2,21.54,,,,,,,,,,,,,,,,,,,,,,,
